article_text,replies,retweets,love
"Trending Searches by @CoinGecko 
15 January 2022
$RISE $HEC $QUACK $BCOIN $GLMR $FTM $NEAR $METIS $ROSE $LOOKS",81,180,408
"What are your top 3 #crypto holdings right now? Mine are $RISE, #ETH and then $NEAR",67,485,483
"Intern notes from “The L1 Wars: $SOL, $AVAX, $NEAR ” on:

- Scaling solution 
- EVM compatibility 
- Decentralization 

And much more!

@naval <> @hosseeb <> @aeyakovenko <> @el33th4xor <> @ilblackdragon",101,717,2.6000
"#Binance concludes the following promos:

 #C98 Trade & Win
 Binance2022 Super Champion
 $NEAR and $LINA Learn & Earn
 72-Hour Deal and more",857,346,1.9000
" NFT ART THREAD 

✦DROP YOUR BEST NFT
✦IMAGE, GIF, VIDEO
✦NO LINK, NO TEXT
✦PRICE IN $ETH or $XTZ or $NEAR
✦ENGAGE TO INCREASE EXPOSURE
✦RT & FOLLOW FOR A FEATURE

ᴛʜɪs ɪs ꜰᴏʀ ʙᴏᴛʜ ᴀʀᴛɪsᴛ ᴀɴᴅ ᴄᴏʟʟᴇᴄᴛᴏʀs",566,106,401
"1/  The @NEARProtocol #MetaBUILD Hackathon is live!

The MetaBUILD Hackathon offers you the opportunity to build your dream project and have it reviewed by the leaders that are building #NEAR and its ecosystem.

Introducing the NEAR, Aurora and Octopus judges ",55,411,3.4000
" Join @hosseeb's Twitter Spaces with @naval and @ilblackdragon!

We will discuss the current state and future of Layer-1's together with
 @aeyakovenko of @solana
 @el33th4xor of @avalabsofficial

Set your reminder for Friday at 3 PM PT! ",72,231,2.7000
Just racked up on $algo $matic and $near ,411,356,939
" Get ready for the first @NEARProtocol Town Hall of 2022!

We're kicking off 2022 with a major announcement from NEAR Foundation CEO @mariekeflament, explaining how #NEAR will accelerate its growth even further in 2022!

 Thursday, Jan 20th
Register ",175,648,7.7000
" @NEARProtocol listed as the 3rd fastest-growing crypto ecosystem for developers in 2021!  

@JeffKauflin of @Forbes dives into @ElectricCapital’s report on which platforms and blockchains attracted the most developers in 2021.

Read the report ",130,609,9000
"FARM ME'S BETA TEST - GET NEW YEAR GIFTS

Farm Me is running on NEAR Testnet, you all can experience being a Citizen of the Farm Me World right away!
Go to our website, get Land & Hero free in Marketplace, instructions at: https://bit.ly/guidetojoinBETA

#FarmMe @NEARProtocol #Metaverse",485,3.3000,3.2000
" Announcing the #NEAR Xmas NFT giveaway!

We're giving a special gift of 100 NFTs this Christmas to the entire #NEAR community! 

Rules:

 Follow @NEAR_Blockchain and @NEARProtocol
 RT this tweet
 Drop your .near address below

That's it. Good luck and happy holidays!",7000,8.1000,6.4000
